id,location,latitude,longitude,time_of_day,weather,road_type,traffic_density,accident_count,risk_level
724,Chatrapati Square,21.122,79.076,20,Haze,City Road,High,3,Medium
725,Ravi Nagar,21.12207,79.04641,8,Rain,Highway,Medium,3,Medium
726,Dharampeth,21.11383,79.08658,20,Rain,Flyover,Medium,7,High
727,Civil Lines,21.17062,79.09235,12,Rain,Junction,Low,4,Medium
728,Trimurti Nagar,21.13647,79.03874,19,Rain,City Road,High,4,High
729,Pratap Nagar,21.09575,79.06419,2,Haze,Highway,Medium,3,High
730,Zero Mile,21.14232,79.10389,22,Cloudy,Urban,Medium,2,Medium
731,Itwari,21.1653,79.09119,12,Rain,City Road,Medium,5,Low
732,Sadar,21.1309,79.06774,9,Cloudy,Highway,High,5,Medium
733,Nandanvan,21.14578,79.1217,0,Cloudy,City Road,High,5,Medium
734,Mankapur,21.1106,79.04145,12,Clear,Flyover,High,5,Medium
735,Nagpur Railway Stn,21.16178,79.08079,1,Clear,Ring Road,Medium,5,Medium
736,Ambazari,21.12857,78.99165,9,Cloudy,Highway,Medium,1,Low
737,Beltarodi,21.05137,79.01681,5,Clear,Urban,Low,1,Medium
738,Koradi,21.25425,79.00095,9,Rain,Junction,Medium,8,High
739,Butibori,20.97018,79.05976,9,Fog,Highway,Low,8,Medium
740,MIDC Hingna,21.07126,78.99034,14,Fog,Junction,Medium,5,Medium
741,Sitabuldi Junction,21.13284,79.09793,15,Rain,Highway,High,5,Medium
742,Wardha Road,21.09363,79.06397,7,Rain,Highway,High,2,Medium
743,Hingna T Point,21.10832,78.98992,22,Clear,Junction,High,2,High
744,Chatrapati Square,21.13274,79.08523,21,Cloudy,Flyover,Medium,5,High
745,Ravi Nagar,21.13725,79.05146,19,Clear,Flyover,High,2,Medium
746,Dharampeth,21.12743,79.06809,22,Fog,Highway,Low,5,High
747,Civil Lines,21.14814,79.07048,22,Rain,Urban,Low,3,Medium
748,Trimurti Nagar,21.15511,79.03928,14,Rain,Junction,High,3,High
749,Pratap Nagar,21.10929,79.05508,13,Cloudy,Junction,Low,4,Medium
750,Zero Mile,21.14757,79.10128,2,Clear,City Road,Medium,4,Medium
751,Itwari,21.13977,79.10414,20,Clear,Highway,High,3,High
752,Sadar,21.16999,79.0874,1,Rain,Junction,Low,2,High
753,Nandanvan,21.13488,79.12023,9,Haze,City Road,Low,3,Low
754,Mankapur,21.10394,79.05667,7,Cloudy,Flyover,High,6,Medium
755,Nagpur Railway Stn,21.15349,79.09399,10,Clear,Highway,Medium,3,Medium
756,Ambazari,21.13034,78.98941,11,Rain,Highway,Low,3,Medium
757,Beltarodi,21.05863,79.01335,7,Rain,Junction,High,8,High
758,Koradi,21.25461,79.01312,16,Rain,Flyover,Medium,2,Medium
759,Butibori,20.95824,79.0359,5,Fog,Junction,Medium,3,High
760,MIDC Hingna,21.10456,79.01126,19,Clear,Flyover,Medium,5,Medium
761,Sitabuldi Junction,21.13871,79.094,12,Clear,City Road,Low,1,Low
762,Wardha Road,21.08702,79.06198,4,Clear,Highway,High,7,High
763,Hingna T Point,21.1055,78.98214,3,Rain,Highway,Low,5,High
764,Chatrapati Square,21.11956,79.08694,11,Fog,Highway,High,4,High
765,Ravi Nagar,21.14909,79.05737,11,Haze,Urban,Medium,2,Low
766,Dharampeth,21.11209,79.06014,15,Clear,City Road,Medium,3,Low
767,Civil Lines,21.13658,79.10488,5,Clear,Flyover,Low,5,High
768,Trimurti Nagar,21.13347,79.03381,6,Clear,Urban,Medium,5,Low
769,Pratap Nagar,21.13267,79.06045,7,Rain,Highway,Medium,7,Medium
770,Zero Mile,21.1464,79.06882,13,Clear,Ring Road,High,4,Low
771,Itwari,21.16763,79.11299,8,Cloudy,Highway,Medium,5,Medium
772,Sadar,21.14982,79.08939,2,Cloudy,Highway,Low,5,Medium
773,Nandanvan,21.14722,79.13199,14,Clear,City Road,High,5,Low
774,Mankapur,21.13944,79.05751,5,Clear,Urban,High,5,Medium
775,Nagpur Railway Stn,21.15774,79.084,11,Clear,Highway,Medium,10,Medium
776,Ambazari,21.12269,78.98567,15,Rain,City Road,Medium,5,Low
777,Beltarodi,21.05433,79.04733,1,Cloudy,Junction,Medium,5,High
778,Koradi,21.24084,79.01422,13,Rain,Ring Road,High,3,Medium
779,Butibori,20.97688,79.04838,10,Fog,City Road,Medium,2,Medium
780,MIDC Hingna,21.10735,79.01239,23,Fog,Junction,High,2,High
781,Sitabuldi Junction,21.15748,79.09152,5,Clear,Urban,High,7,High
782,Wardha Road,21.1016,79.06538,4,Rain,Urban,Low,4,Medium
783,Hingna T Point,21.10938,78.97469,9,Rain,City Road,Low,7,Medium
784,Chatrapati Square,21.13414,79.09564,5,Fog,Highway,Low,1,High
785,Ravi Nagar,21.12928,79.07458,20,Clear,Highway,Low,6,Medium
786,Dharampeth,21.12186,79.06121,7,Clear,City Road,Medium,3,Low
787,Civil Lines,21.17187,79.10073,13,Clear,Urban,High,1,Low
788,Trimurti Nagar,21.14695,79.04953,3,Haze,Urban,Low,6,Medium
789,Pratap Nagar,21.09606,79.06365,20,Rain,Urban,Medium,0,Medium
790,Zero Mile,21.14025,79.07819,20,Cloudy,City Road,High,3,Medium
791,Itwari,21.15629,79.08417,5,Fog,City Road,High,6,High
792,Sadar,21.15561,79.10034,15,Cloudy,Junction,Medium,6,Medium
793,Nandanvan,21.13243,79.10914,1,Fog,Highway,Medium,6,High
794,Mankapur,21.10776,79.03139,22,Clear,Junction,High,6,High
795,Nagpur Railway Stn,21.14847,79.09116,18,Cloudy,Flyover,Low,4,Medium
796,Ambazari,21.13891,78.99589,17,Clear,Junction,Low,4,Medium
797,Beltarodi,21.06953,79.0109,17,Rain,Ring Road,High,3,Medium
798,Koradi,21.23384,78.99188,9,Clear,Flyover,Low,1,Low
799,Butibori,20.9711,79.0507,3,Clear,City Road,Low,4,Low
800,MIDC Hingna,21.07238,78.99093,4,Clear,City Road,Medium,4,Medium
801,Sitabuldi Junction,21.14123,79.09677,6,Rain,Urban,High,3,Medium
802,Wardha Road,21.07756,79.07438,15,Rain,City Road,Low,6,Low
803,Hingna T Point,21.11253,78.99819,9,Rain,Flyover,Medium,2,Medium
804,Chatrapati Square,21.11313,79.09885,18,Fog,Highway,High,3,High
805,Ravi Nagar,21.14717,79.07097,4,Haze,Flyover,Low,1,High
806,Dharampeth,21.14328,79.07287,22,Clear,Junction,Medium,4,Medium
807,Civil Lines,21.15636,79.07653,16,Rain,Highway,High,5,Medium
808,Trimurti Nagar,21.15069,79.03904,4,Clear,Ring Road,Low,3,Medium
809,Pratap Nagar,21.11174,79.04963,21,Rain,Highway,Medium,5,High
810,Zero Mile,21.13781,79.09906,8,Fog,City Road,Low,1,Low
811,Itwari,21.14774,79.1069,17,Clear,Highway,Medium,4,Medium
812,Sadar,21.14391,79.08613,19,Rain,Urban,Medium,4,Medium
813,Nandanvan,21.12349,79.12872,3,Rain,Flyover,Medium,1,High
814,Mankapur,21.10614,79.03685,16,Clear,Junction,High,2,Medium
815,Nagpur Railway Stn,21.15742,79.07411,23,Rain,City Road,High,5,High
816,Ambazari,21.14254,78.97347,6,Fog,Urban,High,4,Medium
817,Beltarodi,21.06548,79.03251,0,Cloudy,Urban,Low,3,Medium
818,Koradi,21.25659,78.99145,18,Rain,Flyover,Low,3,Medium
819,Butibori,20.96665,79.06332,2,Cloudy,Ring Road,Medium,4,Medium
820,MIDC Hingna,21.10482,78.99437,6,Clear,City Road,Medium,9,Low
821,Sitabuldi Junction,21.149,79.10612,23,Clear,Urban,Low,5,Medium
822,Wardha Road,21.10849,79.05849,6,Rain,Highway,High,2,Medium
823,Hingna T Point,21.10092,78.96458,13,Clear,Junction,Low,3,Low
824,Chatrapati Square,21.11854,79.0892,0,Cloudy,Urban,Low,4,Medium
825,Ravi Nagar,21.14374,79.0658,13,Clear,Flyover,Low,3,Low
826,Dharampeth,21.11554,79.07993,9,Fog,Urban,Low,4,Low
827,Civil Lines,21.15838,79.07897,11,Clear,Flyover,Medium,6,Medium
828,Trimurti Nagar,21.15574,79.03687,13,Clear,Junction,High,2,Medium
829,Pratap Nagar,21.12429,79.04622,11,Clear,Junction,Low,2,Medium
830,Zero Mile,21.14306,79.09935,7,Fog,Urban,High,3,Medium
831,Itwari,21.1386,79.09131,17,Rain,Ring Road,Medium,7,Medium
832,Sadar,21.16135,79.10016,12,Rain,Junction,Medium,5,Medium
833,Nandanvan,21.12842,79.11458,17,Fog,City Road,High,6,High
834,Mankapur,21.10997,79.04875,3,Fog,Urban,High,7,High
835,Nagpur Railway Stn,21.14061,79.08864,4,Haze,Junction,Low,8,High
836,Ambazari,21.12241,78.98396,17,Clear,Ring Road,Medium,6,Medium
837,Beltarodi,21.05821,79.03849,8,Fog,Ring Road,High,2,Medium
838,Koradi,21.25219,78.99692,5,Clear,City Road,Low,2,Low
839,Butibori,20.95801,79.06962,1,Rain,Ring Road,Low,3,Medium
840,MIDC Hingna,21.08492,78.98595,17,Fog,Junction,High,3,High
841,Sitabuldi Junction,21.14466,79.07419,20,Haze,Highway,High,4,High
842,Wardha Road,21.0878,79.07998,13,Clear,Junction,Low,6,Medium
843,Hingna T Point,21.08796,78.96319,8,Cloudy,Highway,Medium,6,Medium
844,Chatrapati Square,21.12741,79.09059,23,Fog,Highway,Low,4,High
845,Ravi Nagar,21.13899,79.0421,19,Cloudy,Highway,Medium,7,Medium
846,Dharampeth,21.12941,79.08321,13,Clear,Junction,High,3,Medium
847,Civil Lines,21.15534,79.10291,22,Clear,City Road,Medium,5,Medium
848,Trimurti Nagar,21.13205,79.05229,14,Cloudy,Junction,High,5,Medium
849,Pratap Nagar,21.10208,79.03314,18,Cloudy,Junction,Medium,7,Medium
850,Zero Mile,21.14639,79.10662,7,Rain,Junction,Low,4,Medium
851,Itwari,21.16836,79.10597,1,Cloudy,Urban,Medium,3,Medium
852,Sadar,21.14394,79.06881,7,Rain,Junction,Medium,5,Medium
853,Nandanvan,21.13725,79.13009,21,Rain,Highway,Low,2,High
854,Mankapur,21.11348,79.02516,1,Cloudy,Flyover,High,1,High
855,Nagpur Railway Stn,21.14257,79.09529,6,Clear,Highway,Low,5,Medium
856,Ambazari,21.11715,78.99059,16,Fog,Highway,Medium,5,Medium
857,Beltarodi,21.05143,79.03818,22,Fog,Ring Road,Medium,4,Medium
858,Koradi,21.26961,79.00732,13,Clear,Urban,High,2,Low
859,Butibori,20.97269,79.05214,21,Fog,Junction,High,7,High
860,MIDC Hingna,21.08121,78.98212,12,Rain,Ring Road,Medium,7,Medium
861,Sitabuldi Junction,21.12715,79.09518,7,Rain,Highway,Medium,4,Medium
862,Wardha Road,21.07737,79.04259,14,Clear,City Road,Medium,3,Low
863,Hingna T Point,21.0875,78.96087,17,Fog,City Road,Medium,5,Medium
864,Chatrapati Square,21.10738,79.08732,0,Clear,Flyover,Low,5,Medium
865,Ravi Nagar,21.12666,79.04632,9,Rain,Ring Road,High,10,Medium
866,Dharampeth,21.1305,79.06322,4,Haze,Highway,Low,4,Medium
867,Civil Lines,21.14267,79.10368,14,Rain,Urban,Medium,5,Low
868,Trimurti Nagar,21.13352,79.03884,19,Cloudy,Junction,High,8,High
869,Pratap Nagar,21.11305,79.04737,12,Fog,Urban,High,2,Medium
870,Zero Mile,21.15035,79.09962,9,Cloudy,Urban,Medium,2,Low
871,Itwari,21.16256,79.08695,15,Rain,Highway,High,2,Medium
872,Sadar,21.15984,79.09354,10,Fog,Flyover,Medium,5,Medium
873,Nandanvan,21.1219,79.13651,2,Rain,Junction,High,0,High
874,Mankapur,21.12211,79.03013,15,Clear,Urban,Medium,3,Low
875,Nagpur Railway Stn,21.15044,79.07915,13,Rain,Urban,High,2,Medium
876,Ambazari,21.10672,78.98898,1,Clear,Junction,High,10,High
877,Beltarodi,21.08521,79.04551,15,Rain,Urban,Low,4,Low
878,Koradi,21.26882,79.0022,6,Cloudy,Highway,Medium,4,Low
879,Butibori,20.96738,79.04386,14,Clear,City Road,Medium,1,Low
880,MIDC Hingna,21.09982,79.00021,14,Clear,Junction,High,6,Medium
881,Sitabuldi Junction,21.14832,79.10621,23,Rain,City Road,Low,7,Medium
882,Wardha Road,21.0775,79.05793,0,Clear,Ring Road,High,3,Medium
883,Hingna T Point,21.09732,78.96577,3,Fog,Junction,Low,7,High
884,Chatrapati Square,21.12504,79.1129,15,Haze,City Road,Medium,2,Medium
885,Ravi Nagar,21.13601,79.07396,14,Haze,Urban,High,6,Medium
886,Dharampeth,21.12744,79.07493,6,Rain,Urban,High,2,Medium
887,Civil Lines,21.14206,79.09279,13,Cloudy,Junction,High,2,Medium
888,Trimurti Nagar,21.16248,79.0531,22,Clear,Junction,High,0,High
889,Pratap Nagar,21.10692,79.0334,17,Clear,Junction,Low,2,Medium
890,Zero Mile,21.13633,79.09992,16,Clear,Junction,Medium,5,Medium
891,Itwari,21.1611,79.08404,16,Clear,Highway,Medium,8,Medium
892,Sadar,21.16868,79.08498,20,Cloudy,Junction,Medium,5,High
893,Nandanvan,21.12872,79.10509,5,Cloudy,Junction,Low,5,Medium
894,Mankapur,21.11338,79.02035,6,Clear,Highway,High,1,Low
895,Nagpur Railway Stn,21.13358,79.074,5,Rain,Ring Road,Medium,3,Medium
896,Ambazari,21.12759,78.98217,23,Haze,Ring Road,High,5,Medium
897,Beltarodi,21.07721,79.01227,16,Clear,Junction,High,5,Medium
898,Koradi,21.26008,78.9856,7,Clear,Junction,Medium,7,Medium
899,Butibori,20.95095,79.04588,4,Rain,Flyover,Medium,4,High
900,MIDC Hingna,21.08456,79.01838,16,Cloudy,City Road,Low,4,Low
901,Sitabuldi Junction,21.1533,79.08701,8,Haze,Urban,High,3,Low
902,Wardha Road,21.09164,79.05099,17,Haze,Highway,Medium,4,Medium
903,Hingna T Point,21.08397,78.99636,13,Rain,Junction,High,3,High
904,Chatrapati Square,21.13867,79.08499,23,Clear,Junction,Low,5,Medium
905,Ravi Nagar,21.14744,79.07014,21,Haze,Junction,Medium,4,High
906,Dharampeth,21.14928,79.05385,23,Haze,City Road,High,3,Medium
907,Civil Lines,21.17001,79.08814,4,Cloudy,Highway,High,3,High
908,Trimurti Nagar,21.15036,79.04257,14,Clear,Urban,Low,6,Low
909,Pratap Nagar,21.12508,79.03517,4,Fog,Junction,High,5,High
910,Zero Mile,21.14326,79.09185,7,Rain,Flyover,High,1,Medium
911,Itwari,21.14524,79.11858,9,Fog,Highway,High,1,Medium
912,Sadar,21.15823,79.07865,8,Fog,Junction,High,5,High
913,Nandanvan,21.12443,79.12677,11,Cloudy,Highway,Medium,4,Low
914,Mankapur,21.12686,79.0301,13,Clear,Flyover,High,5,Medium
915,Nagpur Railway Stn,21.14748,79.09606,13,Fog,City Road,Medium,4,Medium
916,Ambazari,21.10861,79.00749,10,Cloudy,Junction,High,6,Medium
917,Beltarodi,21.07027,79.04866,8,Fog,City Road,Low,4,Low
918,Koradi,21.26196,79.00091,14,Rain,Highway,High,1,Medium
919,Butibori,20.96122,79.05227,4,Clear,Flyover,Medium,4,High
920,MIDC Hingna,21.0873,79.01267,16,Cloudy,City Road,Medium,3,Low
921,Sitabuldi Junction,21.16221,79.08036,17,Clear,Urban,Medium,2,Low
922,Wardha Road,21.07842,79.06372,18,Cloudy,Highway,High,3,Medium
923,Hingna T Point,21.10449,78.96612,18,Clear,Highway,High,2,Medium
924,Chatrapati Square,21.1264,79.11228,16,Rain,Junction,High,6,High
925,Ravi Nagar,21.1336,79.07384,10,Clear,Highway,High,4,Medium
926,Dharampeth,21.12024,79.05128,17,Clear,City Road,Medium,3,Low
927,Civil Lines,21.15847,79.07744,2,Clear,Urban,Medium,3,Medium
928,Trimurti Nagar,21.13249,79.0293,17,Haze,Ring Road,High,5,Medium
929,Pratap Nagar,21.1213,79.03978,18,Cloudy,Highway,High,5,Medium
930,Zero Mile,21.16195,79.10295,22,Rain,Highway,Low,1,Medium
931,Itwari,21.16422,79.10579,3,Rain,City Road,Medium,4,High
932,Sadar,21.15209,79.06692,8,Clear,City Road,High,8,Medium
933,Nandanvan,21.11168,79.13627,22,Cloudy,Urban,Medium,8,Medium
934,Mankapur,21.11092,79.0201,2,Rain,City Road,Low,2,Medium
935,Nagpur Railway Stn,21.1636,79.08345,12,Rain,Junction,Low,3,Medium
936,Ambazari,21.12329,78.9794,11,Rain,Urban,Low,6,Low
937,Beltarodi,21.07037,79.03129,1,Fog,Urban,Low,3,Medium
938,Koradi,21.23525,79.01277,20,Haze,Highway,Low,3,Medium
939,Butibori,20.97967,79.05938,11,Clear,Highway,Medium,4,Medium
940,MIDC Hingna,21.10157,79.00129,13,Clear,City Road,Medium,9,Low
941,Sitabuldi Junction,21.12719,79.10376,9,Cloudy,City Road,Medium,7,Low
942,Wardha Road,21.0824,79.076,20,Cloudy,Highway,Medium,6,Medium
943,Hingna T Point,21.0864,78.96057,23,Rain,Urban,Low,2,Medium
944,Chatrapati Square,21.13078,79.077,6,Cloudy,Junction,High,3,Medium
945,Ravi Nagar,21.11844,79.06873,3,Fog,Highway,Medium,4,High
946,Dharampeth,21.11699,79.06302,23,Clear,Highway,Medium,3,Medium
947,Civil Lines,21.1569,79.07255,8,Fog,City Road,Medium,6,Medium
948,Trimurti Nagar,21.12599,79.04335,14,Cloudy,Highway,Medium,8,Medium
949,Pratap Nagar,21.13227,79.04344,20,Clear,Junction,Low,2,Medium
950,Zero Mile,21.15166,79.08336,17,Clear,City Road,Medium,3,Low
951,Itwari,21.16464,79.08197,16,Fog,Flyover,Medium,1,High
952,Sadar,21.15413,79.10014,4,Rain,Highway,Medium,4,High
953,Nandanvan,21.12092,79.1121,8,Cloudy,Ring Road,Medium,2,Low
954,Mankapur,21.13052,79.04657,11,Clear,Highway,Medium,5,Medium
955,Nagpur Railway Stn,21.16379,79.07869,22,Clear,Highway,Low,6,Medium
956,Ambazari,21.13977,78.98165,14,Fog,Junction,High,4,High
957,Beltarodi,21.05272,79.01433,21,Clear,Highway,Low,2,Medium
958,Koradi,21.23187,79.01781,4,Rain,Ring Road,High,7,High
959,Butibori,20.96359,79.05012,1,Fog,Junction,High,2,High
960,MIDC Hingna,21.08752,79.0137,7,Clear,City Road,High,6,Low
961,Sitabuldi Junction,21.16452,79.081,21,Fog,Junction,High,2,High
962,Wardha Road,21.07556,79.04876,22,Rain,Junction,Low,4,High
963,Hingna T Point,21.1042,78.98755,15,Clear,Urban,Medium,5,Low
964,Chatrapati Square,21.12587,79.08017,20,Clear,Highway,Medium,6,Medium
965,Ravi Nagar,21.1506,79.06881,2,Clear,Highway,High,4,High
966,Dharampeth,21.14702,79.06503,9,Clear,Highway,Low,2,Medium
967,Civil Lines,21.1571,79.10418,11,Rain,Urban,Low,4,Low
968,Trimurti Nagar,21.12968,79.03997,17,Haze,City Road,High,3,Medium
969,Pratap Nagar,21.11988,79.033,6,Rain,City Road,High,2,Medium
970,Zero Mile,21.14847,79.08037,4,Rain,City Road,Medium,3,Medium
971,Itwari,21.14672,79.09749,8,Clear,Ring Road,Medium,5,Low
972,Sadar,21.14641,79.07504,16,Fog,Highway,High,4,High
973,Nandanvan,21.13788,79.1399,9,Rain,Ring Road,High,6,Medium
974,Mankapur,21.10168,79.04393,19,Fog,Highway,Medium,4,Medium
975,Nagpur Railway Stn,21.14896,79.10355,5,Rain,Highway,Low,9,High
976,Ambazari,21.13473,79.00261,16,Haze,Junction,High,5,Medium
977,Beltarodi,21.08368,79.02855,3,Clear,Junction,Medium,2,High
978,Koradi,21.26479,78.99728,15,Fog,City Road,High,4,Medium
979,Butibori,20.96222,79.04982,3,Clear,Highway,Medium,6,Medium
980,MIDC Hingna,21.08918,79.01247,6,Rain,Urban,Medium,6,Medium
981,Sitabuldi Junction,21.16145,79.09363,3,Clear,Junction,High,3,High
982,Wardha Road,21.10143,79.05285,18,Clear,Junction,Medium,4,Medium
983,Hingna T Point,21.098,78.98335,17,Fog,Highway,High,4,High
984,Chatrapati Square,21.13995,79.10794,7,Haze,Urban,High,5,Medium
985,Ravi Nagar,21.15305,79.06548,23,Cloudy,Flyover,Low,4,Medium
986,Dharampeth,21.13297,79.08332,20,Fog,Ring Road,High,7,High
987,Civil Lines,21.13521,79.10048,18,Clear,Junction,High,5,Medium
988,Trimurti Nagar,21.14288,79.05736,8,Fog,Highway,High,2,High
989,Pratap Nagar,21.09926,79.04582,4,Rain,Urban,High,5,High
990,Zero Mile,21.13407,79.06824,14,Clear,Highway,Medium,1,Low
991,Itwari,21.1402,79.08195,13,Rain,Highway,Low,4,Medium
992,Sadar,21.15871,79.06965,20,Rain,Junction,High,1,High
993,Nandanvan,21.13332,79.13743,20,Fog,Ring Road,High,7,High
994,Mankapur,21.11727,79.04536,15,Cloudy,Flyover,High,4,Medium
995,Nagpur Railway Stn,21.1276,79.0714,16,Fog,Flyover,High,4,High
996,Ambazari,21.14608,78.97662,21,Fog,Highway,Medium,9,High
997,Beltarodi,21.07862,79.03809,2,Rain,Urban,Low,7,Medium
998,Koradi,21.23886,79.01026,5,Haze,Ring Road,Low,3,Medium
999,Butibori,20.9851,79.03796,3,Clear,Highway,Medium,3,Medium
1000,MIDC Hingna,21.09464,78.99739,17,Rain,Ring Road,High,5,Medium
1001,Sitabuldi Junction,21.15749,79.09853,14,Fog,Ring Road,Low,9,Low
1002,Wardha Road,21.07083,79.06515,0,Clear,Flyover,High,2,High
1003,Hingna T Point,21.08479,78.988,19,Rain,City Road,Medium,1,Medium
1004,Chatrapati Square,21.12292,79.09102,3,Clear,Junction,High,2,High
1005,Ravi Nagar,21.11884,79.05108,20,Rain,Highway,Low,6,High
1006,Dharampeth,21.14706,79.07413,18,Cloudy,Urban,Medium,1,Medium
1007,Civil Lines,21.14155,79.09259,4,Haze,Ring Road,High,6,High
1008,Trimurti Nagar,21.13545,79.05805,16,Cloudy,Urban,Medium,7,Low
1009,Pratap Nagar,21.12885,79.05914,19,Cloudy,Highway,Low,4,Medium
1010,Zero Mile,21.16212,79.09932,19,Fog,Highway,Low,2,Medium
1011,Itwari,21.17222,79.0991,11,Cloudy,Junction,Low,3,Low
1012,Sadar,21.15321,79.07736,4,Fog,Flyover,Medium,1,High
1013,Nandanvan,21.14754,79.11268,22,Clear,Junction,High,2,High
1014,Mankapur,21.10509,79.05618,21,Cloudy,Urban,High,1,Medium
1015,Nagpur Railway Stn,21.12873,79.08101,19,Rain,Ring Road,High,5,Medium
1016,Ambazari,21.12147,78.99714,17,Fog,Flyover,Low,2,High
1017,Beltarodi,21.08378,79.02813,17,Rain,Highway,High,6,High
1018,Koradi,21.25564,79.00093,2,Fog,Urban,High,2,High
1019,Butibori,20.95833,79.03502,9,Fog,City Road,Medium,2,Low
1020,MIDC Hingna,21.10831,78.99617,18,Haze,Highway,Medium,5,Medium
1021,Sitabuldi Junction,21.13386,79.1005,11,Fog,Urban,Medium,2,Low
1022,Wardha Road,21.106,79.04199,18,Clear,Highway,Low,7,Medium
1023,Hingna T Point,21.09382,78.99012,20,Clear,Junction,Low,9,Medium
1024,Chatrapati Square,21.11904,79.09964,9,Cloudy,Urban,Medium,7,Low
1025,Ravi Nagar,21.11904,79.05849,3,Clear,Junction,High,2,High
1026,Dharampeth,21.11518,79.06007,11,Fog,Junction,Medium,2,Medium
1027,Civil Lines,21.14186,79.09712,16,Rain,Ring Road,Low,6,Medium
1028,Trimurti Nagar,21.16452,79.05458,3,Fog,Flyover,High,4,High
1029,Pratap Nagar,21.13378,79.0521,12,Rain,Highway,Medium,10,High
1030,Zero Mile,21.16213,79.09085,12,Clear,Urban,Low,0,Low
1031,Itwari,21.14073,79.08903,18,Clear,City Road,Medium,6,Low
1032,Sadar,21.1549,79.10039,23,Cloudy,City Road,Medium,2,Medium
1033,Nandanvan,21.1452,79.12043,3,Clear,Junction,Low,4,Medium
1034,Mankapur,21.12134,79.05294,0,Clear,Junction,High,7,High
1035,Nagpur Railway Stn,21.14869,79.0717,11,Fog,Junction,Medium,3,Medium
1036,Ambazari,21.12311,78.98097,8,Haze,Urban,Medium,7,Medium
1037,Beltarodi,21.08817,79.01823,3,Rain,Urban,Medium,5,Medium
1038,Koradi,21.26281,79.01519,15,Clear,Highway,Medium,5,Medium
1039,Butibori,20.98877,79.03561,13,Clear,Urban,Low,2,Low
1040,MIDC Hingna,21.07414,78.98514,7,Fog,Junction,Low,3,Medium
1041,Sitabuldi Junction,21.13945,79.09468,21,Haze,Highway,Low,3,Medium
1042,Wardha Road,21.09625,79.0742,17,Cloudy,Junction,High,1,Medium
1043,Hingna T Point,21.0999,78.96592,21,Rain,Ring Road,Medium,6,Medium
1044,Chatrapati Square,21.11189,79.11157,0,Rain,Highway,High,2,High
1045,Ravi Nagar,21.15334,79.04543,19,Fog,City Road,High,5,Medium
1046,Dharampeth,21.11922,79.07975,18,Haze,Urban,High,4,Medium
1047,Civil Lines,21.1477,79.08103,2,Fog,Highway,Medium,3,High
1048,Trimurti Nagar,21.14364,79.05516,16,Clear,Junction,Medium,4,Medium
1049,Pratap Nagar,21.10773,79.04672,0,Rain,City Road,Medium,3,Medium
1050,Zero Mile,21.12644,79.08791,11,Clear,Junction,Low,4,Low
1051,Itwari,21.1766,79.11826,11,Clear,Highway,Medium,6,Medium
1052,Sadar,21.13838,79.09567,23,Fog,Urban,Medium,5,High
1053,Nandanvan,21.11879,79.10259,8,Fog,Highway,Low,2,Medium
1054,Mankapur,21.12484,79.05667,15,Clear,City Road,Medium,5,Low
1055,Nagpur Railway Stn,21.1291,79.08113,19,Fog,Flyover,Medium,6,High
1056,Ambazari,21.14009,78.99523,18,Haze,Junction,Medium,6,High
1057,Beltarodi,21.06585,79.01774,4,Clear,Ring Road,High,5,Medium
1058,Koradi,21.24027,78.98404,7,Fog,Highway,Low,3,Medium
1059,Butibori,20.97732,79.0555,4,Fog,City Road,High,3,High
1060,MIDC Hingna,21.09638,79.00191,10,Clear,Urban,Medium,7,Low
1061,Sitabuldi Junction,21.12984,79.10028,7,Clear,Junction,Medium,1,Low
1062,Wardha Road,21.09668,79.04935,8,Rain,Flyover,High,3,High
1063,Hingna T Point,21.10209,78.98231,18,Fog,Highway,Medium,1,Medium
1064,Chatrapati Square,21.13793,79.10619,23,Rain,City Road,Medium,3,High
1065,Ravi Nagar,21.11815,79.04648,10,Clear,Junction,High,10,High
1066,Dharampeth,21.13713,79.08056,9,Clear,Junction,Medium,6,Medium
1067,Civil Lines,21.14363,79.07434,13,Clear,Highway,Low,4,Low
1068,Trimurti Nagar,21.15949,79.03437,18,Haze,City Road,Low,6,Low
1069,Pratap Nagar,21.12553,79.06182,23,Clear,Junction,Low,2,Medium
1070,Zero Mile,21.15351,79.08469,13,Fog,Urban,Medium,4,Medium
1071,Itwari,21.16712,79.08555,18,Clear,Ring Road,Medium,3,Low
1072,Sadar,21.137,79.08778,9,Cloudy,Urban,Low,5,Low
1073,Nandanvan,21.11483,79.10885,9,Haze,Urban,Low,4,Low
1074,Mankapur,21.10932,79.04355,9,Clear,Junction,Medium,3,Medium
1075,Nagpur Railway Stn,21.15908,79.09708,2,Clear,Junction,Low,5,Medium
1076,Ambazari,21.13122,78.98609,4,Fog,Flyover,Medium,3,High
1077,Beltarodi,21.07452,79.04282,20,Rain,Highway,High,2,High
1078,Koradi,21.25171,79.01196,21,Rain,Highway,Low,6,High
1079,Butibori,20.96527,79.04499,18,Fog,Highway,Medium,5,High
1080,MIDC Hingna,21.08149,79.0037,0,Clear,Urban,Low,5,Medium
1081,Sitabuldi Junction,21.16313,79.07603,3,Clear,Junction,Low,5,Medium
1082,Wardha Road,21.08202,79.06626,21,Clear,Highway,Low,3,Medium
1083,Hingna T Point,21.09968,78.9921,2,Fog,Ring Road,Medium,7,High
1084,Chatrapati Square,21.11387,79.11349,6,Cloudy,City Road,Medium,4,Low
